date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,stock,target_label
2014-01-02,19.845715,19.893929,19.715,19.754642,234684800,44.149613923838366,50.99617500814269,-105.07163697066576,-42.411877164517726,19.28223562,19.26506036021697,18.37260357,18.48471279099762,0.1946365998224166,19.97926765,0.3214280000000009,0.305722419319433,0.3163014344666262,AAPL,0
2014-01-02,54.830002,55.220001,54.189999,54.709999,43195500,51.91747490928916,58.07782165609288,-64.31211744142045,-13.517100727418203,50.28180016,50.74094592520254,47.66540003,46.91455502781094,1.8289010075937144,53.24499995,1.0300020000000032,1.6520519926192758,1.7107388679338764,META,0
2014-01-02,52.401428,52.511429,51.542858,51.831429,12325600,34.729663839045244,49.18358365983831,-89.573201323852,-131.28857946690368,50.11282836,50.23515654653996,46.3854284,46.65069823742157,0.7519293877650668,52.607357,1.052856999999996,1.1611821630156958,1.2477484753574717,NFLX,1
2014-01-02,9.986667,10.165333,9.77,10.006667,92826000,55.34407089342224,54.440117846652825,-37.37364405849264,15.213422424213173,9.68210666,9.820166824312883,10.49423998,9.67428441991791,0.169471610562633,9.74079995,0.3953330000000008,0.4026411651229593,0.4475496484415416,TSLA,0
2014-01-03,19.745001,19.775,19.301071,19.320715,392467600,33.094332451293155,43.88352854378321,-152.1509986405939,-124.51198329280182,19.2973142,19.26724297943566,18.39889643,18.50137088446704,0.1328868566841663,19.9363748,0.4739289999999982,0.3297519308452281,0.3275605463657038,AAPL,1
2014-01-03,55.02,55.650002,54.529999,54.560001,38246200,50.604988010831725,57.38762185878908,-40.05473436508487,-17.36124649671576,50.31940018,50.89071857732972,47.82880003,47.0668973927577,1.6879873422980651,53.54200005,1.120003000000004,1.5760449936736656,1.6685434485136734,META,1
2014-01-03,52.0,52.495712,51.842857,51.871429,10817100,35.58788607651576,49.45720840164479,-65.8205812919158,-103.02618884626128,50.22877119999999,50.29932657293592,46.53757126000001,46.75472597812036,0.624258746723747,52.65614275,0.6642829999999975,1.0901965682991674,1.206072369696197,NFLX,0
2014-01-03,10.0,10.146,9.906667,9.970667,70425000,53.74262870999453,53.82152101490924,-81.30447088739595,17.48112987448799,9.6528,9.826069020017528,10.49569332,9.68019010852561,0.1626230229475354,9.77616665,0.2393330000000002,0.3793114272482508,0.4326770305962963,TSLA,0
2014-01-06,19.194643,19.52857,19.057142,19.426071,412610800,37.52566102573004,45.858019026536944,-132.30648973794658,-130.1223502556744,19.3108642,19.273471760472752,18.418310700000003,18.519794080305697,0.0913975153804784,19.893571200000004,0.4714279999999995,0.3499913692959097,0.3378367931176559,AAPL,0
2014-01-06,54.419998,57.259998,54.049999,57.200001,68852600,67.4839170163327,65.22152481708235,43.90774929670349,42.36473031304117,50.42540016,51.13815060205906,48.03060004,47.26878354922482,1.7689468649960889,53.9850001,3.209999000000004,1.809466994577428,1.7786474171604358,META,1
2014-01-06,51.889999,52.044285,50.475716,51.367142,15501500,29.820673799625965,46.08790036269541,-121.4725591924588,-139.64056559334452,50.31257117999999,50.34120324217589,46.68097126000001,46.84662111496858,0.47688980873572,52.66692845,1.5685690000000037,1.158535487113573,1.231964986307193,NFLX,0
2014-01-06,10.0,10.026667,9.682667,9.8,80416500,46.32817440108696,50.87040959780368,-123.4275439570428,-37.82470804310972,9.62946666,9.825046667557528,10.496739989999998,9.682577132228715,0.1417896050761324,9.7979,0.3439999999999994,0.3742669376413577,0.4263429569429573,TSLA,1
2014-01-07,19.440001,19.498571,19.21143,19.287144,317209200,34.05562434655792,43.67570769542832,-89.58700901612744,-108.0890186268538,19.31667136,19.2740079458513,18.43314642,18.535080464411525,0.046767558372565,19.85789275,0.2871409999999983,0.3410127451107795,0.3342156650169512,AAPL,1
2014-01-07,57.700001,58.549999,57.220001,57.919998,77207400,70.67258383779912,67.00318891579626,150.6201355077805,117.88698037124702,50.53480009999999,51.40411488735818,48.2433,47.4809664805177,1.8696534098002784,54.484000050000006,1.3499979999999994,1.7438285667806528,1.748029601472496,META,1
2014-01-07,49.684284,49.69857,48.152859,48.5,36167600,14.371863356546385,32.52209136587231,-206.7621713700165,-238.02912027804925,50.33622834,50.26899661827804,46.79195698,46.87955808943144,0.1272772931399828,52.5602142,3.2142830000000018,1.4522137032402054,1.3735591309585369,NFLX,1
2014-01-07,9.841333,10.026667,9.683333,9.957333,75511500,53.26303664348189,53.40675031543484,-84.78465082263364,-20.77943147995837,9.59774666,9.830234551890282,10.50340665,9.68805054614626,0.1364020713258611,9.8379,0.3433340000000004,0.3698479465497352,0.4204137456985703,TSLA,1
2014-01-08,19.243214,19.484285,19.23893,19.409286,258529600,39.76849736719852,46.1041072276652,-58.52553941423009,-82.15003241790555,19.32917136,19.27931314936817,18.44941429,18.552493447492598,0.0210116255562695,19.8168749,0.245355,0.3273473529520967,0.3278684746246258,AAPL,0
2014-01-08,57.599998,58.41,57.23,58.23,56682400,72.04942023683981,67.76880352451052,107.79594209360243,101.41519157769896,50.66040008,51.67180582905036,48.45999999,47.69507258164939,1.951977461530916,54.95350005,1.1799999999999995,1.6632816286691308,1.7074560582930152,META,0
